repo,owner,name,treatment,repetition,order_index,timestamp,status_code,ok,elapsed_ms,size_bytes,error
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,REST,3,153,2026-06-26T15:32:40.033939+00:00,200,True,635.0118000000293,7103,
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,REST,2,154,2026-06-26T15:32:40.997803+00:00,200,True,681.4567000001261,7103,
justjavac/free-programming-books-zh_CN,justjavac,free-programming-books-zh_CN,REST,1,155,2026-06-26T15:32:42.007026+00:00,200,True,633.4071000001131,6378,
nilbuild/developer-roadmap,nilbuild,developer-roadmap,GraphQL,3,156,2026-06-26T15:32:43.046805+00:00,200,True,674.4875000003958,464,
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,REST,2,157,2026-06-26T15:32:43.922830+00:00,200,True,633.9981000000989,6958,
jwasham/coding-interview-university,jwasham,coding-interview-university,REST,5,158,2026-06-26T15:32:44.911988+00:00,200,True,658.5512999999992,6337,
clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,GraphQL,2,159,2026-06-26T15:32:46.028983+00:00,200,True,715.7914999997956,500,
anthropics/skills,anthropics,skills,REST,4,160,2026-06-26T15:32:47.150811+00:00,200,True,666.8605999998363,6386,
react/react-native,react,react-native,GraphQL,2,161,2026-06-26T15:32:48.094806+00:00,200,True,735.3612000001704,410,
tauri-apps/tauri,tauri-apps,tauri,REST,4,162,2026-06-26T15:32:49.193800+00:00,200,True,632.4903999998241,6440,
996icu/996.ICU,996icu,996.ICU,REST,3,163,2026-06-26T15:32:50.203808+00:00,200,True,754.0472000000591,5130,
microsoft/vscode,microsoft,vscode,GraphQL,1,164,2026-06-26T15:32:51.264919+00:00,200,True,720.2594999998837,379,
firecrawl/firecrawl,firecrawl,firecrawl,REST,4,165,2026-06-26T15:32:52.251893+00:00,200,True,655.5911000000378,6644,
nodejs/node,nodejs,node,REST,3,166,2026-06-26T15:32:53.459861+00:00,200,True,708.7806000004093,6015,
microsoft/markitdown,microsoft,markitdown,GraphQL,1,167,2026-06-26T15:32:54.550816+00:00,200,True,791.0842000001139,424,
yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,REST,2,168,2026-06-26T15:32:55.533856+00:00,200,True,621.7110000002322,6194,
Genymobile/scrcpy,Genymobile,scrcpy,REST,4,169,2026-06-26T15:32:56.515618+00:00,200,True,646.6113999999834,6394,
react/react-native,react,react-native,REST,1,170,2026-06-26T15:32:57.595720+00:00,200,True,695.0106999997843,6368,
anthropics/skills,anthropics,skills,GraphQL,3,171,2026-06-26T15:32:58.642295+00:00,200,True,678.9144999997916,372,
flutter/flutter,flutter,flutter,REST,3,172,2026-06-26T15:32:59.707874+00:00,200,True,756.796800000302,6633,
nilbuild/developer-roadmap,nilbuild,developer-roadmap,GraphQL,4,173,2026-06-26T15:33:00.709902+00:00,200,True,663.874400000168,464,
iptv-org/iptv,iptv-org,iptv,REST,4,174,2026-06-26T15:33:01.675873+00:00,200,True,652.0445000001018,6197,
flutter/flutter,flutter,flutter,GraphQL,5,175,2026-06-26T15:33:02.804817+00:00,200,True,735.8162999998967,464,
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,GraphQL,2,176,2026-06-26T15:33:03.714963+00:00,200,True,618.4166000002733,468,
vuejs/vue,vuejs,vue,GraphQL,4,177,2026-06-26T15:33:04.859123+00:00,200,True,777.8088000000025,426,
flutter/flutter,flutter,flutter,REST,4,178,2026-06-26T15:33:05.814856+00:00,200,True,709.0501999996377,6633,
obra/superpowers,obra,superpowers,REST,2,179,2026-06-26T15:33:06.910745+00:00,200,True,616.5395000002718,5254,
getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,REST,3,180,2026-06-26T15:33:07.802672+00:00,200,True,661.601900000278,5678,
golang/go,golang,go,REST,2,181,2026-06-26T15:33:08.942521+00:00,200,True,752.6935000000776,6103,
flutter/flutter,flutter,flutter,REST,2,182,2026-06-26T15:33:09.931454+00:00,200,True,715.6995999998799,6633,
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,REST,2,183,2026-06-26T15:33:10.805851+00:00,200,True,621.1605000003146,6460,
donnemartin/system-design-primer,donnemartin,system-design-primer,REST,4,184,2026-06-26T15:33:11.805839+00:00,200,True,626.7265999999836,6148,
github/spec-kit,github,spec-kit,REST,2,185,2026-06-26T15:33:12.813656+00:00,200,True,699.4446999997308,6456,
massgravel/Microsoft-Activation-Scripts,massgravel,Microsoft-Activation-Scripts,REST,4,186,2026-06-26T15:33:13.747417+00:00,200,True,652.6899999998932,7601,
ripienaar/free-for-dev,ripienaar,free-for-dev,GraphQL,2,187,2026-06-26T15:33:14.878211+00:00,200,True,684.8018000000593,436,
microsoft/PowerToys,microsoft,PowerToys,REST,3,188,2026-06-26T15:33:15.852855+00:00,200,True,702.182399999856,6782,
godotengine/godot,godotengine,godot,GraphQL,5,189,2026-06-26T15:33:16.958855+00:00,200,True,670.720899999651,410,
anthropics/skills,anthropics,skills,GraphQL,5,190,2026-06-26T15:33:18.181288+00:00,200,True,747.8943000000982,372,
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,GraphQL,5,191,2026-06-26T15:33:19.308452+00:00,200,True,688.468699999703,468,
nodejs/node,nodejs,node,GraphQL,5,192,2026-06-26T15:33:20.350729+00:00,200,True,685.6794999998783,390,
ggml-org/llama.cpp,ggml-org,llama.cpp,REST,3,193,2026-06-26T15:33:21.245734+00:00,200,True,661.283899999944,6249,
public-apis/public-apis,public-apis,public-apis,REST,3,194,2026-06-26T15:33:22.405079+00:00,200,True,658.5033000001204,6803,
openclaw/openclaw,openclaw,openclaw,GraphQL,2,195,2026-06-26T15:33:23.558354+00:00,200,True,667.3135000000912,431,
microsoft/vscode,microsoft,vscode,REST,5,196,2026-06-26T15:33:24.574442+00:00,200,True,709.9696000000222,6495,
massgravel/Microsoft-Activation-Scripts,massgravel,Microsoft-Activation-Scripts,REST,2,197,2026-06-26T15:33:25.697656+00:00,200,True,648.6737000000176,7601,
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,GraphQL,4,198,2026-06-26T15:33:26.887837+00:00,200,True,712.0047999997041,430,
airbnb/javascript,airbnb,javascript,REST,5,199,2026-06-26T15:33:28.024236+00:00,200,True,679.9424999999246,6346,
excalidraw/excalidraw,excalidraw,excalidraw,GraphQL,3,200,2026-06-26T15:33:29.060273+00:00,200,True,671.964200000275,423,
jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,GraphQL,5,201,2026-06-26T15:33:30.181258+00:00,200,True,675.7125999997697,375,
